stage,base_model_type,base_params,boundary_model_type,boundary_params,boundary_apply,boundary_p2_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_off_by_one_accuracy,validation_mae,validation_high_priority_recall_p1_p2,validation_low_priority_recall_p4_p5,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_off_by_one_accuracy,natural_mae,natural_high_priority_recall_p1_p2,natural_low_priority_recall_p4_p5,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.3,base_1_2,1.2,1.8546048950368799,0.696,0.6938048950368798,0.6938048950368798,0.9008,0.4464,0.862,0.796,0.636,0.62,0.904,0.616,0.704,0.7256281407035176,0.7249871714458347,0.7251471948638959,0.8984924623115578,0.40804020100502514,0.8589420654911839,0.8190954773869347,0.6482412060301508,0.6666666666666666,0.88,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.3,base_1_2,1.3,1.8546048950368799,0.696,0.6938048950368798,0.6938048950368798,0.9008,0.4464,0.862,0.796,0.636,0.62,0.904,0.616,0.704,0.7256281407035176,0.7247809779798435,0.7249362777058574,0.8984924623115578,0.41105527638190953,0.8589420654911839,0.8190954773869347,0.6482412060301508,0.6666666666666666,0.88,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.2,base_1_2_3,1.4,1.8539694214755242,0.6912,0.6899694214755242,0.6899694214755242,0.9008,0.4504,0.87,0.796,0.604,0.648,0.884,0.616,0.704,0.7276381909547739,0.7271856408819599,0.7273369667765635,0.8994974874371859,0.40603015075376886,0.8690176322418136,0.8190954773869347,0.6331658291457286,0.696969696969697,0.875,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.05,base_1_2_3,1.2,1.8538148621820099,0.6928,0.6912548621820099,0.6912548621820099,0.9016,0.448,0.876,0.796,0.58,0.672,0.892,0.616,0.704,0.7316582914572864,0.7314252734936963,0.7315745115633951,0.9025125628140703,0.40100502512562813,0.8765743073047859,0.8190954773869347,0.628140703517588,0.7222222222222222,0.875,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.05,base_1_2,1.3,1.8537528950256565,0.6936,0.6916728950256562,0.6916728950256562,0.9008,0.448,0.868,0.796,0.58,0.668,0.9,0.616,0.704,0.7296482412060301,0.7289293150406962,0.729079714140413,0.9015075376884422,0.4030150753768844,0.8690176322418136,0.8190954773869347,0.6180904522613065,0.7121212121212122,0.885,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.03,base_1_2_3,1.2,1.853678655177847,0.692,0.6907986551778469,0.6907986551778468,0.8976,0.4544,0.876,0.796,0.58,0.68,0.88,0.608,0.712,0.7236180904522613,0.7234567098410072,0.7236039943090892,0.9025125628140703,0.40804020100502514,0.8765743073047859,0.8140703517587939,0.6180904522613065,0.7171717171717171,0.865,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.03,base_1_2,1.2,1.8535786318642666,0.6936,0.6917386318642664,0.6917386318642663,0.9,0.4488,0.868,0.796,0.58,0.668,0.9,0.616,0.704,0.7286432160804021,0.7279089034165567,0.7280624628683963,0.9015075376884422,0.4040201005025126,0.8690176322418136,0.8190954773869347,0.6180904522613065,0.7070707070707071,0.885,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.1,base_1_2_3,1.1,1.8534333648022696,0.6928,0.6910333648022695,0.6910333648022696,0.8992,0.4536,0.864,0.796,0.616,0.64,0.888,0.608,0.712,0.7266331658291457,0.7261324744733465,0.7262818585480698,0.9025125628140703,0.4050251256281407,0.871536523929471,0.8140703517587939,0.6532663316582915,0.6868686868686869,0.875,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.3,base_1_2_3,1.2,1.8531708154029436,0.6952,0.6932508154029433,0.6932508154029433,0.9024,0.4456,0.866,0.796,0.636,0.62,0.9,0.616,0.704,0.7246231155778895,0.7241301709208977,0.7242890064316598,0.8984924623115578,0.40904522613065325,0.8589420654911839,0.8190954773869347,0.6482412060301508,0.6666666666666666,0.875,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.3,base_1_2_3,1.3,1.852875464282339,0.6952,0.6931954642823388,0.6931954642823388,0.9016,0.4464,0.864,0.796,0.636,0.62,0.9,0.616,0.704,0.7246231155778895,0.7239194142227698,0.7240735489722995,0.8984924623115578,0.4120603015075377,0.8589420654911839,0.8190954773869347,0.6482412060301508,0.6666666666666666,0.875,0.6984924623115578,0.7336683417085427
