stage,base_model_type,base_params,p1p2_model_type,p1p2_params,p1_sample_weight,p2p4_model_type,p2p4_params,p4_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_recall,validation_min_recall,validation_off_by_one_accuracy,validation_mae,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_macro_recall,natural_min_recall,natural_off_by_one_accuracy,natural_mae,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
p1p2_boundary,sgd_log,alpha=0.1,sgd_log,alpha=0.1,1.0,,,1.0,1.5911869643842067,0.6928,0.6906449406403441,0.690644940640344,0.6928000000000001,0.608,0.8992,0.4528,0.624,0.624,0.896,0.608,0.712,0.7256281407035176,0.7249068670444753,0.7250458730623904,0.7254339881224302,0.6532663316582915,0.8994974874371859,0.4100502512562814,0.6532663316582915,0.6818181818181818,0.875,0.6834170854271356,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.05,1.0,1.5911431746863904,0.692,0.6901719578106505,0.6901719578106505,0.692,0.608,0.9016,0.4472,0.624,0.608,0.896,0.628,0.704,0.7206030150753768,0.719489212116968,0.7196578370222458,0.7203733313029794,0.6381909547738693,0.9025125628140703,0.4130653266331658,0.6381909547738693,0.6464646464646465,0.875,0.7085427135678392,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.03,1.3,1.5894363394378228,0.696,0.6939938990630381,0.693993899063038,0.6960000000000001,0.6,0.904,0.4408,0.628,0.6,0.896,0.652,0.704,0.7266331658291457,0.7255232569326346,0.7256788865891733,0.7264034820567484,0.6464646464646465,0.9025125628140703,0.4050251256281407,0.6532663316582915,0.6464646464646465,0.875,0.7236180904522613,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.1,1.0,1.5889695727110478,0.6912,0.6894159545184129,0.689415954518413,0.6912,0.608,0.9,0.4504,0.624,0.608,0.896,0.624,0.704,0.7206030150753768,0.7194604142299565,0.719627443085358,0.7203733313029794,0.6381909547738693,0.9015075376884422,0.4150753768844221,0.6381909547738693,0.6464646464646465,0.875,0.7085427135678392,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.05,1.6,1.5877154703896357,0.6928,0.6909257839827261,0.6909257839827262,0.6928000000000001,0.604,0.9016,0.4456,0.628,0.604,0.896,0.632,0.704,0.7276381909547739,0.7266132730704408,0.7267653648990751,0.7274186589513223,0.6532663316582915,0.9045226130653267,0.40100502512562813,0.6532663316582915,0.6565656565656566,0.875,0.7185929648241206,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.1,1.6,1.5877154703896357,0.6928,0.6909257839827261,0.6909257839827262,0.6928000000000001,0.604,0.9016,0.4456,0.628,0.604,0.896,0.632,0.704,0.7266331658291457,0.7256482068161367,0.7258019441311797,0.726413633825694,0.6532663316582915,0.9035175879396985,0.4030150753768844,0.6532663316582915,0.6565656565656566,0.875,0.7135678391959799,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.05,1.0,1.5873833477446615,0.6928,0.6905722462411022,0.6905722462411022,0.6928000000000001,0.604,0.9024,0.4464,0.628,0.604,0.896,0.624,0.712,0.7226130653266332,0.7215793080794907,0.7217285437612275,0.7223935333231816,0.6482412060301508,0.9035175879396985,0.40703517587939697,0.6482412060301508,0.6565656565656566,0.875,0.6984924623115578,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.05,1.6,1.5866389526077431,0.6928,0.6905315876795719,0.6905315876795719,0.6928000000000001,0.604,0.9008,0.4496,0.624,0.604,0.896,0.628,0.712,0.7286432160804021,0.7276840960472145,0.7278133933272656,0.7284389117303689,0.6532663316582915,0.9055276381909547,0.39798994974874374,0.6532663316582915,0.6717171717171717,0.875,0.7085427135678392,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.05,1.3,1.5862695589849374,0.692,0.6901159316415624,0.6901159316415625,0.692,0.604,0.9024,0.4456,0.624,0.604,0.896,0.632,0.704,0.7206030150753768,0.7193954294007899,0.7195642798756168,0.7203682554185066,0.6381909547738693,0.9015075376884422,0.4150753768844221,0.6381909547738693,0.6414141414141414,0.875,0.7135678391959799,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.1,1.3,1.5862695589849374,0.692,0.6901159316415624,0.6901159316415625,0.692,0.604,0.9024,0.4456,0.624,0.604,0.896,0.632,0.704,0.7195979899497488,0.7184349150881886,0.7186053650390926,0.7193632302928784,0.6381909547738693,0.9005025125628141,0.41708542713567837,0.6381909547738693,0.6414141414141414,0.875,0.7085427135678392,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.1,1.0,1.585203275463276,0.692,0.6898054591054603,0.6898054591054604,0.692,0.604,0.9008,0.4496,0.628,0.604,0.896,0.62,0.712,0.7226130653266332,0.7215536504293615,0.7217012731675491,0.7223935333231816,0.6482412060301508,0.9025125628140703,0.40904522613065325,0.6482412060301508,0.6565656565656566,0.875,0.6984924623115578,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.03,1.3,1.584716694915411,0.6944,0.692061158192351,0.6920611581923511,0.6944000000000001,0.6,0.9016,0.448,0.624,0.6,0.896,0.64,0.712,0.7266331658291457,0.7256129228918273,0.7257490263546912,0.726413633825694,0.6532663316582915,0.9025125628140703,0.4040201005025126,0.6532663316582915,0.6565656565656566,0.875,0.7135678391959799,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.03,1.0,1.5844381276873951,0.6912,0.6893302128123252,0.6893302128123251,0.6912,0.604,0.9016,0.4472,0.624,0.604,0.896,0.628,0.704,0.7206030150753768,0.7194225694091763,0.7195930193600802,0.7203682554185066,0.6381909547738693,0.9025125628140703,0.4130653266331658,0.6381909547738693,0.6414141414141414,0.875,0.7135678391959799,0.7336683417085427
p1p2_boundary,sgd_log,alpha=0.1,sgd_log,alpha=0.05,1.0,,,1.0,1.5826411716255213,0.6912,0.6890686193758684,0.6890686193758683,0.6912,0.608,0.8992,0.4528,0.628,0.612,0.896,0.608,0.712,0.7206030150753768,0.7197354754180252,0.7198893085804219,0.7203885589563981,0.6482412060301508,0.8994974874371859,0.4150753768844221,0.6482412060301508,0.6616161616161617,0.875,0.6834170854271356,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.1,1.3,1.5825134036458426,0.6928,0.6905223394097375,0.6905223394097375,0.6928000000000001,0.6,0.9032,0.4448,0.628,0.6,0.896,0.628,0.712,0.721608040201005,0.7205123105608802,0.7206617083434438,0.7213834323130806,0.6482412060301508,0.9025125628140703,0.40904522613065325,0.6482412060301508,0.6515151515151515,0.875,0.6984924623115578,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.05,1.3,1.5825134036458426,0.6928,0.6905223394097375,0.6905223394097375,0.6928000000000001,0.6,0.9032,0.4448,0.628,0.6,0.896,0.628,0.712,0.7226130653266332,0.7214842196717899,0.7216319927896766,0.7223884574387086,0.6482412060301508,0.9035175879396985,0.40703517587939697,0.6482412060301508,0.6515151515151515,0.875,0.7035175879396985,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.03,1.0,sgd_log,alpha=0.03,1.3,1.5809352054714458,0.6944,0.6923586757857433,0.6923586757857433,0.6944000000000001,0.596,0.904,0.4424,0.624,0.596,0.896,0.652,0.704,0.7206030150753768,0.7191939885857608,0.71936166958989,0.7203581036495609,0.6313131313131313,0.9005025125628141,0.41708542713567837,0.6381909547738693,0.6313131313131313,0.875,0.7236180904522613,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.03,1.0,1.5806782176034453,0.692,0.6897303626724087,0.6897303626724087,0.692,0.6,0.9024,0.4464,0.628,0.6,0.896,0.624,0.712,0.7226130653266332,0.7215048663921457,0.7216542641747092,0.7223884574387086,0.6482412060301508,0.9045226130653267,0.4050251256281407,0.6482412060301508,0.6515151515151515,0.875,0.7035175879396985,0.7336683417085427
